stage,tasks,median_ms,max_ms,input_mb,shuffle_write_mb,shuffle_read_mb,skew_ratio
2,29,2833.0,3963,0.4206838607788086,0.0027513504028320312,0.0,1.4
4,29,11018.0,14531,17.17068386077881,7765.975798606873,0.0,1.3
5,32,16250.0,59806,0.0,0.0,7765.975798606873,3.7
11,48,263.5,800,8.121634483337402,7.868124008178711,0.0,3.0
14,48,277.5,567,8.140677452087402,0.4379606246948242,0.0,2.0
21,48,1165.0,3542,4.347123146057129,108.26880359649658,0.0,3.0
27,32,1.0,20,1.233489990234375,0.0,0.0,20.0
30,32,2.0,10,1.233489990234375,0.0,0.0,5.0
37,48,1356.0,3436,4.347123146057129,17.657146453857422,0.0,2.5
40,32,3.5,14,1.025970458984375,0.001800537109375,0.0,4.0
44,32,0.0,7,1.025970458984375,0.0,0.0,
47,32,1.0,5,1.025970458984375,0.0,0.0,5.0
49,32,2.0,22,1.025970458984375,0.001800537109375,0.0,11.0
52,32,4.0,11,1.025970458984375,0.001800537109375,0.0,2.8
54,48,1127.0,1498,0.33679962158203125,11.583782196044922,0.0,1.3
56,48,52201.5,62643,0.33679962158203125,10.177873611450195,0.0,1.2
61,8,19.5,14000,0.0562591552734375,29.112424850463867,0.0,717.9
